pitcher_name,batter_side,archetype_name,combo_display,pitch_1_name,pitch_2_name,pitch_3_name,run_value_score,data_as_of
Max Scherzer,Left-Handed Batter,Pure Slap Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,0.0231,"August 18, 2026"
Max Scherzer,Left-Handed Batter,All-or-Nothing Power Hitter,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0065,"August 18, 2026"
Max Scherzer,Left-Handed Batter,Disciplined All-Rounder,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,-0.0013,"August 18, 2026"
Max Scherzer,Left-Handed Batter,Free-Swinging Slugger,CU / FF / SL,Curveball,Four-Seam Fastball,Slider,-0.0019,"August 18, 2026"
Max Scherzer,Left-Handed Batter,Complete Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,-0.0039,"August 18, 2026"
Max Scherzer,Left-Handed Batter,Contact-Over-Power Hitter,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0038,"August 18, 2026"
Max Scherzer,Right-Handed Batter,Pure Slap Hitter,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0005,"August 18, 2026"
Max Scherzer,Right-Handed Batter,All-or-Nothing Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,-0.0086,"August 18, 2026"
Max Scherzer,Right-Handed Batter,Disciplined All-Rounder,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0221,"August 18, 2026"
Max Scherzer,Right-Handed Batter,Free-Swinging Slugger,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,0.0063,"August 18, 2026"
Max Scherzer,Right-Handed Batter,Complete Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,0.0023,"August 18, 2026"
Max Scherzer,Right-Handed Batter,Contact-Over-Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,-0.0207,"August 18, 2026"
Jose Quintana,Left-Handed Batter,Pure Slap Hitter,CU / FF / SI,Curveball,Four-Seam Fastball,Sinker,-0.0069,"August 18, 2026"
Jose Quintana,Left-Handed Batter,All-or-Nothing Power Hitter,CH / CU / SI,Changeup,Curveball,Sinker,-0.006,"August 18, 2026"
Jose Quintana,Left-Handed Batter,Disciplined All-Rounder,CH / CU / SI,Changeup,Curveball,Sinker,-0.0058,"August 18, 2026"
Jose Quintana,Left-Handed Batter,Free-Swinging Slugger,CH / CU / SI,Changeup,Curveball,Sinker,-0.0175,"August 18, 2026"
Jose Quintana,Left-Handed Batter,Complete Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,-0.0054,"August 18, 2026"
Jose Quintana,Left-Handed Batter,Contact-Over-Power Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0135,"August 18, 2026"
Jose Quintana,Right-Handed Batter,Pure Slap Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0064,"August 18, 2026"
Jose Quintana,Right-Handed Batter,All-or-Nothing Power Hitter,CH / CU / SI,Changeup,Curveball,Sinker,0.0035,"August 18, 2026"
Jose Quintana,Right-Handed Batter,Disciplined All-Rounder,CU / FF / SI,Curveball,Four-Seam Fastball,Sinker,-0.0108,"August 18, 2026"
Jose Quintana,Right-Handed Batter,Free-Swinging Slugger,CU / FF / SI,Curveball,Four-Seam Fastball,Sinker,-0.0069,"August 18, 2026"
Jose Quintana,Right-Handed Batter,Complete Power Hitter,CH / CU / SI,Changeup,Curveball,Sinker,-0.0016,"August 18, 2026"
Jose Quintana,Right-Handed Batter,Contact-Over-Power Hitter,CH / CU / FF,Changeup,Curveball,Four-Seam Fastball,0.0097,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,Pure Slap Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0017,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,All-or-Nothing Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0086,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,Disciplined All-Rounder,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0192,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,Free-Swinging Slugger,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0106,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,Complete Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0062,"August 18, 2026"
Fernando Cruz,Left-Handed Batter,Contact-Over-Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,0.0054,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,Pure Slap Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0031,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,All-or-Nothing Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,0.0134,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,Disciplined All-Rounder,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,0.0166,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,Free-Swinging Slugger,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0251,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,Complete Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,-0.0038,"August 18, 2026"
Fernando Cruz,Right-Handed Batter,Contact-Over-Power Hitter,FF / FS / SL,Four-Seam Fastball,Splitter,Slider,0.0014,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,Pure Slap Hitter,FF / SI / SL,Four-Seam Fastball,Sinker,Slider,-0.0156,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,All-or-Nothing Power Hitter,CH / SI / SL,Changeup,Sinker,Slider,-0.0095,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,Disciplined All-Rounder,FF / SI / SL,Four-Seam Fastball,Sinker,Slider,-0.0153,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,Free-Swinging Slugger,CU / SI / SL,Curveball,Sinker,Slider,-0.0068,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,Complete Power Hitter,CU / FC / SL,Curveball,Cutter,Slider,-0.0069,"August 18, 2026"
Merrill Kelly,Left-Handed Batter,Contact-Over-Power Hitter,CU / SI / SL,Curveball,Sinker,Slider,0.0017,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,Pure Slap Hitter,CH / CU / SL,Changeup,Curveball,Slider,-0.0025,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,All-or-Nothing Power Hitter,CU / FF / SL,Curveball,Four-Seam Fastball,Slider,-0.0163,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,Disciplined All-Rounder,CH / CU / FC,Changeup,Curveball,Cutter,-0.0165,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,Free-Swinging Slugger,CH / SI / SL,Changeup,Sinker,Slider,-0.0227,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,Complete Power Hitter,CU / FF / SI,Curveball,Four-Seam Fastball,Sinker,-0.0159,"August 18, 2026"
Merrill Kelly,Right-Handed Batter,Contact-Over-Power Hitter,CH / CU / FC,Changeup,Curveball,Cutter,-0.0085,"August 18, 2026"
Chris Sale,Left-Handed Batter,Pure Slap Hitter,CH / SI / SL,Changeup,Sinker,Slider,-0.0125,"August 18, 2026"
Chris Sale,Left-Handed Batter,All-or-Nothing Power Hitter,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0011,"August 18, 2026"
Chris Sale,Left-Handed Batter,Disciplined All-Rounder,CH / SI / SL,Changeup,Sinker,Slider,-0.0265,"August 18, 2026"
Chris Sale,Left-Handed Batter,Free-Swinging Slugger,CH / SI / SL,Changeup,Sinker,Slider,-0.0141,"August 18, 2026"
Chris Sale,Left-Handed Batter,Complete Power Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.008,"August 18, 2026"
Chris Sale,Left-Handed Batter,Contact-Over-Power Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0045,"August 18, 2026"
Chris Sale,Right-Handed Batter,Pure Slap Hitter,CH / SI / SL,Changeup,Sinker,Slider,-0.0074,"August 18, 2026"
Chris Sale,Right-Handed Batter,All-or-Nothing Power Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0035,"August 18, 2026"
Chris Sale,Right-Handed Batter,Disciplined All-Rounder,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0252,"August 18, 2026"
Chris Sale,Right-Handed Batter,Free-Swinging Slugger,CH / SI / SL,Changeup,Sinker,Slider,-0.0208,"August 18, 2026"
Chris Sale,Right-Handed Batter,Complete Power Hitter,CH / SI / SL,Changeup,Sinker,Slider,-0.0093,"August 18, 2026"
Chris Sale,Right-Handed Batter,Contact-Over-Power Hitter,CH / FF / SI,Changeup,Four-Seam Fastball,Sinker,-0.0168,"August 18, 2026"
Martín Pérez,Left-Handed Batter,Pure Slap Hitter,CH / CU / FC,Changeup,Curveball,Cutter,0.0003,"August 18, 2026"
Martín Pérez,Left-Handed Batter,All-or-Nothing Power Hitter,CH / FC / SI,Changeup,Cutter,Sinker,-0.0237,"August 18, 2026"
Martín Pérez,Left-Handed Batter,Disciplined All-Rounder,CU / FC / SI,Curveball,Cutter,Sinker,-0.016,"August 18, 2026"
Martín Pérez,Left-Handed Batter,Free-Swinging Slugger,CU / FC / SI,Curveball,Cutter,Sinker,-0.0115,"August 18, 2026"
Martín Pérez,Left-Handed Batter,Complete Power Hitter,CH / CU / FC,Changeup,Curveball,Cutter,-0.016,"August 18, 2026"
Martín Pérez,Left-Handed Batter,Contact-Over-Power Hitter,CH / CU / FC,Changeup,Curveball,Cutter,-0.0106,"August 18, 2026"
Martín Pérez,Right-Handed Batter,Pure Slap Hitter,CU / FC / SI,Curveball,Cutter,Sinker,0.0134,"August 18, 2026"
Martín Pérez,Right-Handed Batter,All-or-Nothing Power Hitter,CH / CU / SI,Changeup,Curveball,Sinker,-0.0139,"August 18, 2026"
Martín Pérez,Right-Handed Batter,Disciplined All-Rounder,CH / CU / FC,Changeup,Curveball,Cutter,-0.0199,"August 18, 2026"
Martín Pérez,Right-Handed Batter,Free-Swinging Slugger,CH / FC / SI,Changeup,Cutter,Sinker,-0.0292,"August 18, 2026"
Martín Pérez,Right-Handed Batter,Complete Power Hitter,CU / FC / SI,Curveball,Cutter,Sinker,-0.0191,"August 18, 2026"
Martín Pérez,Right-Handed Batter,Contact-Over-Power Hitter,CU / FC / SI,Curveball,Cutter,Sinker,-0.008,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,Pure Slap Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,0.0189,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,All-or-Nothing Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0055,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,Disciplined All-Rounder,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0114,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,Free-Swinging Slugger,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0235,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,Complete Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,0.006,"August 18, 2026"
Shawn Armstrong,Left-Handed Batter,Contact-Over-Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,0.0015,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,Pure Slap Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,0.018,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,All-or-Nothing Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0053,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,Disciplined All-Rounder,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0049,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,Free-Swinging Slugger,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.014,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,Complete Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,-0.0028,"August 18, 2026"
Shawn Armstrong,Right-Handed Batter,Contact-Over-Power Hitter,FC / FF / ST,Cutter,Four-Seam Fastball,Sweeper,0.0149,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,Pure Slap Hitter,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0098,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,All-or-Nothing Power Hitter,CH / KC / SL,Changeup,Knuckle Curve,Slider,0.0019,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,Disciplined All-Rounder,FF / KC / SL,Four-Seam Fastball,Knuckle Curve,Slider,-0.0218,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,Free-Swinging Slugger,CH / FF / SL,Changeup,Four-Seam Fastball,Slider,-0.0253,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,Complete Power Hitter,CH / FF / KC,Changeup,Four-Seam Fastball,Knuckle Curve,-0.0146,"August 18, 2026"
Gerrit Cole,Left-Handed Batter,Contact-Over-Power Hitter,CH / KC / SL,Changeup,Knuckle Curve,Slider,-0.0035,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,Pure Slap Hitter,CH / FF / KC,Changeup,Four-Seam Fastball,Knuckle Curve,-0.0219,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,All-or-Nothing Power Hitter,CH / FF / KC,Changeup,Four-Seam Fastball,Knuckle Curve,-0.0209,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,Disciplined All-Rounder,CH / KC / SL,Changeup,Knuckle Curve,Slider,-0.0095,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,Free-Swinging Slugger,CH / FF / KC,Changeup,Four-Seam Fastball,Knuckle Curve,-0.0185,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,Complete Power Hitter,CH / KC / SL,Changeup,Knuckle Curve,Slider,0.0158,"August 18, 2026"
Gerrit Cole,Right-Handed Batter,Contact-Over-Power Hitter,CH / FF / KC,Changeup,Four-Seam Fastball,Knuckle Curve,-0.0129,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,Pure Slap Hitter,FC / FS / SI,Cutter,Splitter,Sinker,-0.0078,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,All-or-Nothing Power Hitter,CU / FC / SI,Curveball,Cutter,Sinker,0.0009,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,Disciplined All-Rounder,FC / FS / SI,Cutter,Splitter,Sinker,-0.0083,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,Free-Swinging Slugger,FF / FS / SI,Four-Seam Fastball,Splitter,Sinker,-0.0352,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,Complete Power Hitter,CU / FS / SI,Curveball,Splitter,Sinker,-0.0174,"August 18, 2026"
Nathan Eovaldi,Left-Handed Batter,Contact-Over-Power Hitter,CU / FS / SI,Curveball,Splitter,Sinker,0.0011,"August 18, 2026"
Nathan Eovaldi,Right-Handed Batter,Pure Slap Hitter,FC / FF / FS,Cutter,Four-Seam Fastball,Splitter,-0.0321,"August 18, 2026"
